RecordType,StartTime,Demand
VD,2024-10-08T18:30:00Z,35784
VD,2024-10-08T18:35:00Z,35488
VD,2024-10-08T18:40:00Z,35244
VD,2024-10-08T18:45:00Z,35176
VD,2024-10-08T18:50:00Z,35022
VD,2024-10-08T18:55:00Z,34925
VD,2024-10-08T19:00:00Z,34870
VD,2024-10-08T19:05:00Z,34700
VD,2024-10-08T19:10:00Z,34603
VD,2024-10-08T19:15:00Z,34424
VD,2024-10-08T19:20:00Z,33969
VD,2024-10-08T19:25:00Z,33742
VD,2024-10-08T19:30:00Z,33549
VD,2024-10-08T19:35:00Z,33215
VD,2024-10-08T19:40:00Z,32764
VD,2024-10-08T19:45:00Z,32524
VD,2024-10-08T19:50:00Z,32366
VD,2024-10-08T19:55:00Z,32059
VD,2024-10-08T20:00:00Z,31743
VD,2024-10-08T20:05:00Z,31351
VD,2024-10-08T20:10:00Z,30994
VD,2024-10-08T20:15:00Z,30450
VD,2024-10-08T20:20:00Z,29934
VD,2024-10-08T20:25:00Z,29823
VD,2024-10-08T20:30:00Z,29628
VD,2024-10-08T20:35:00Z,29436
VD,2024-10-08T20:40:00Z,29090
VD,2024-10-08T20:45:00Z,28861
VD,2024-10-08T20:50:00Z,28551
VD,2024-10-08T20:55:00Z,28288
VD,2024-10-08T21:00:00Z,27905
VD,2024-10-08T21:05:00Z,27671
VD,2024-10-08T21:10:00Z,27498
VD,2024-10-08T21:15:00Z,27334
VD,2024-10-08T21:20:00Z,27205
VD,2024-10-08T21:25:00Z,27027
VD,2024-10-08T21:30:00Z,26788
VD,2024-10-08T21:35:00Z,26695
VD,2024-10-08T21:40:00Z,26413
VD,2024-10-08T21:45:00Z,26211
VD,2024-10-08T21:50:00Z,25957
VD,2024-10-08T21:55:00Z,25779
VD,2024-10-08T22:00:00Z,25180
VD,2024-10-08T22:05:00Z,24804
VD,2024-10-08T22:10:00Z,24673
VD,2024-10-08T22:15:00Z,24411
VD,2024-10-08T22:20:00Z,24185
VD,2024-10-08T22:25:00Z,24078
VD,2024-10-08T22:30:00Z,24106
VD,2024-10-08T22:35:00Z,24103
VD,2024-10-08T22:40:00Z,24280
VD,2024-10-08T22:45:00Z,24409
VD,2024-10-08T22:50:00Z,24406
VD,2024-10-08T22:55:00Z,24499
VD,2024-10-08T23:00:00Z,24566
VD,2024-10-08T23:05:00Z,24622
VD,2024-10-08T23:10:00Z,24601
VD,2024-10-08T23:15:00Z,24496
VD,2024-10-08T23:20:00Z,24494
VD,2024-10-08T23:25:00Z,24456
VD,2024-10-08T23:30:00Z,24395
VD,2024-10-08T23:35:00Z,24213
VD,2024-10-08T23:40:00Z,23888
VD,2024-10-08T23:45:00Z,23540
VD,2024-10-08T23:50:00Z,23301
VD,2024-10-08T23:55:00Z,23249
VD,2024-10-09T00:00:00Z,23140
VD,2024-10-09T00:05:00Z,23102
VD,2024-10-09T00:10:00Z,23308
VD,2024-10-09T00:15:00Z,23596
VD,2024-10-09T00:20:00Z,23480
VD,2024-10-09T00:25:00Z,23634
VD,2024-10-09T00:30:00Z,23834
VD,2024-10-09T00:35:00Z,23850
VD,2024-10-09T00:40:00Z,23807
VD,2024-10-09T00:45:00Z,23802
VD,2024-10-09T00:50:00Z,23913
VD,2024-10-09T00:55:00Z,23797
VD,2024-10-09T01:00:00Z,23553
VD,2024-10-09T01:05:00Z,23647
VD,2024-10-09T01:10:00Z,23531
VD,2024-10-09T01:15:00Z,23336
VD,2024-10-09T01:20:00Z,23044
VD,2024-10-09T01:25:00Z,22968
VD,2024-10-09T01:30:00Z,22986
VD,2024-10-09T01:35:00Z,23049
VD,2024-10-09T01:40:00Z,23063
VD,2024-10-09T01:45:00Z,23033
VD,2024-10-09T01:50:00Z,23061
VD,2024-10-09T01:55:00Z,23002
VD,2024-10-09T02:00:00Z,23032
VD,2024-10-09T02:05:00Z,22910
VD,2024-10-09T02:10:00Z,22972
VD,2024-10-09T02:15:00Z,23069
VD,2024-10-09T02:20:00Z,23007
VD,2024-10-09T02:25:00Z,22857
VD,2024-10-09T02:30:00Z,22885
VD,2024-10-09T02:35:00Z,22764
VD,2024-10-09T02:40:00Z,22726
VD,2024-10-09T02:45:00Z,22678
VD,2024-10-09T02:50:00Z,22597
VD,2024-10-09T02:55:00Z,22202
VD,2024-10-09T03:00:00Z,21763
VD,2024-10-09T03:05:00Z,21908
VD,2024-10-09T03:10:00Z,22004
VD,2024-10-09T03:15:00Z,22130
VD,2024-10-09T03:20:00Z,22239
VD,2024-10-09T03:25:00Z,22373
VD,2024-10-09T03:30:00Z,22453
VD,2024-10-09T03:35:00Z,22483
VD,2024-10-09T03:40:00Z,22549
VD,2024-10-09T03:45:00Z,22551
VD,2024-10-09T03:50:00Z,22462
VD,2024-10-09T03:55:00Z,22311
VD,2024-10-09T04:00:00Z,22337
VD,2024-10-09T04:05:00Z,22385
VD,2024-10-09T04:10:00Z,22261
VD,2024-10-09T04:15:00Z,22319
VD,2024-10-09T04:20:00Z,22372
VD,2024-10-09T04:25:00Z,22284
VD,2024-10-09T04:30:00Z,22295
VD,2024-10-09T04:35:00Z,22375
VD,2024-10-09T04:40:00Z,22440
VD,2024-10-09T04:45:00Z,22587
VD,2024-10-09T04:50:00Z,22704
VD,2024-10-09T04:55:00Z,22947
VD,2024-10-09T05:00:00Z,23612
VD,2024-10-09T05:05:00Z,24063
VD,2024-10-09T05:10:00Z,24174
VD,2024-10-09T05:15:00Z,24246
VD,2024-10-09T05:20:00Z,24408
VD,2024-10-09T05:25:00Z,24767
VD,2024-10-09T05:30:00Z,25180
VD,2024-10-09T05:35:00Z,25780
VD,2024-10-09T05:40:00Z,25978
VD,2024-10-09T05:45:00Z,26262
VD,2024-10-09T05:50:00Z,26488
VD,2024-10-09T05:55:00Z,26880
VD,2024-10-09T06:00:00Z,27683
VD,2024-10-09T06:05:00Z,28523
VD,2024-10-09T06:10:00Z,28930
VD,2024-10-09T06:15:00Z,29162
VD,2024-10-09T06:20:00Z,29412
VD,2024-10-09T06:25:00Z,29707
VD,2024-10-09T06:30:00Z,30101
VD,2024-10-09T06:35:00Z,30208
VD,2024-10-09T06:40:00Z,30461
VD,2024-10-09T06:45:00Z,30576
VD,2024-10-09T06:50:00Z,30806
VD,2024-10-09T06:55:00Z,30886
VD,2024-10-09T07:00:00Z,31322
VD,2024-10-09T07:05:00Z,31410
VD,2024-10-09T07:10:00Z,31385
VD,2024-10-09T07:15:00Z,31422
VD,2024-10-09T07:20:00Z,31479
VD,2024-10-09T07:25:00Z,31595
VD,2024-10-09T07:30:00Z,31472
VD,2024-10-09T07:35:00Z,31513
VD,2024-10-09T07:40:00Z,31442
VD,2024-10-09T07:45:00Z,31404
VD,2024-10-09T07:50:00Z,31365
VD,2024-10-09T07:55:00Z,31301
VD,2024-10-09T08:00:00Z,31286
VD,2024-10-09T08:05:00Z,31393
VD,2024-10-09T08:10:00Z,31432
VD,2024-10-09T08:15:00Z,31219
VD,2024-10-09T08:20:00Z,31032
VD,2024-10-09T08:25:00Z,30926
VD,2024-10-09T08:30:00Z,31088
VD,2024-10-09T08:35:00Z,31170
VD,2024-10-09T08:40:00Z,31116
VD,2024-10-09T08:45:00Z,31140
VD,2024-10-09T08:50:00Z,31055
VD,2024-10-09T08:55:00Z,30919
VD,2024-10-09T09:00:00Z,30915
VD,2024-10-09T09:05:00Z,30971
VD,2024-10-09T09:10:00Z,30966
VD,2024-10-09T09:15:00Z,30897
VD,2024-10-09T09:20:00Z,30811
VD,2024-10-09T09:25:00Z,30565
VD,2024-10-09T09:30:00Z,30547
VD,2024-10-09T09:35:00Z,30427
VD,2024-10-09T09:40:00Z,30311
VD,2024-10-09T09:45:00Z,30224
VD,2024-10-09T09:50:00Z,30116
VD,2024-10-09T09:55:00Z,30003
VD,2024-10-09T10:00:00Z,29785
VD,2024-10-09T10:05:00Z,29729
VD,2024-10-09T10:10:00Z,29600
VD,2024-10-09T10:15:00Z,29609
VD,2024-10-09T10:20:00Z,29583
VD,2024-10-09T10:25:00Z,29530
VD,2024-10-09T10:30:00Z,29559
VD,2024-10-09T10:35:00Z,29603
VD,2024-10-09T10:40:00Z,29685
VD,2024-10-09T10:45:00Z,29608
VD,2024-10-09T10:50:00Z,29547
VD,2024-10-09T10:55:00Z,29576
VD,2024-10-09T11:00:00Z,29638
VD,2024-10-09T11:05:00Z,29732
VD,2024-10-09T11:10:00Z,29659
VD,2024-10-09T11:15:00Z,29757
VD,2024-10-09T11:20:00Z,29771
VD,2024-10-09T11:25:00Z,29526
VD,2024-10-09T11:30:00Z,29489
VD,2024-10-09T11:35:00Z,29512
VD,2024-10-09T11:40:00Z,29638
VD,2024-10-09T11:45:00Z,29468
VD,2024-10-09T11:50:00Z,29420
VD,2024-10-09T11:55:00Z,29239
VD,2024-10-09T12:00:00Z,29040
VD,2024-10-09T12:05:00Z,29047
VD,2024-10-09T12:10:00Z,28944
VD,2024-10-09T12:15:00Z,28976
VD,2024-10-09T12:20:00Z,28969
VD,2024-10-09T12:25:00Z,28770
VD,2024-10-09T12:30:00Z,28761
VD,2024-10-09T12:35:00Z,28896
VD,2024-10-09T12:40:00Z,28929
VD,2024-10-09T12:45:00Z,28808
VD,2024-10-09T12:50:00Z,28797
VD,2024-10-09T12:55:00Z,28588
VD,2024-10-09T13:00:00Z,28527
VD,2024-10-09T13:05:00Z,28532
VD,2024-10-09T13:10:00Z,28482
VD,2024-10-09T13:15:00Z,28495
VD,2024-10-09T13:20:00Z,28555
VD,2024-10-09T13:25:00Z,28683
VD,2024-10-09T13:30:00Z,28929
VD,2024-10-09T13:35:00Z,29134
VD,2024-10-09T13:40:00Z,29030
VD,2024-10-09T13:45:00Z,28959
VD,2024-10-09T13:50:00Z,29224
VD,2024-10-09T13:55:00Z,29160
VD,2024-10-09T14:00:00Z,29193
VD,2024-10-09T14:05:00Z,29282
VD,2024-10-09T14:10:00Z,29296
VD,2024-10-09T14:15:00Z,29479
VD,2024-10-09T14:20:00Z,29550
VD,2024-10-09T14:25:00Z,29517
VD,2024-10-09T14:30:00Z,29750
VD,2024-10-09T14:35:00Z,29901
VD,2024-10-09T14:40:00Z,30083
VD,2024-10-09T14:45:00Z,30252
VD,2024-10-09T14:50:00Z,30338
VD,2024-10-09T14:55:00Z,30570
VD,2024-10-09T15:00:00Z,30676
VD,2024-10-09T15:05:00Z,30873
VD,2024-10-09T15:10:00Z,30996
VD,2024-10-09T15:15:00Z,31183
VD,2024-10-09T15:20:00Z,31241
VD,2024-10-09T15:25:00Z,31323
